ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
200,Computer Science,Female,Pakistani,International,6th,Intermediate,MS,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,83,80,1.96,3.13,2.83,C,2.65,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,4,4,2,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,4,4,4,3,3,4,3,4,4,2,4,1,4,4,4,4,5,5,Group study,Late night,1~2 hours,
201,Computer Science,Male,Pakistani,Sindh,5th,BS,Below Matric,Between 1Lac~2Lac,YES,NO,5,Cambridge,FSc/ ICS,70,69,3.5,3.95,3.47,B,3.65,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,5,4,4,3,3,2,2,2,2,4,4,4,4,4,5,4,5,5,5,5,4,4,3,5,4,5,5,4,4,3,5,2,2,4,4,3,5,2,2,5,5,4,Independent study,Late night,1~2 hours,
202,Computer Science,Female,Pakistani,Punjab,6th,BS,Intermediate,Above 3Lac,NO,NO,1,Matric,FSc/ ICS,86,72,2.2,2.6,2.4,D,2.40,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,1,3,2,1,3,3,2,5,1,5,5,5,5,5,5,4,2,3,1,1,2,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,Independent study,Day time,3~4 hours,
203,Artificial intelligence ,Male,Pakistani,Punjab,5th,Below Matric,Below Matric,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,78.36,84.18,1.67,3.13,2.45,D,2.43,D,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Male instructor,Number of students does not effect my performance,I take notes during lecture,3,3,4,3,4,4,4,4,1,3,4,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5,3,4,4,3,5,5,3,Group study,Day time,3~4 hours,
204,Computer Science,Male,Pakistani,Punjab,6th,Matric,Below Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,88,83,3.4,3.2,3.56,A,3.38,B,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,4,4,4,4,2,3,2,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,Independent study,Late night,7~8 hours,
205,Computer Science,Male,Pakistani,KPK,5th,BS,Intermediate,Between 50K~1Lac,NO,YES,3,Matric,FSc/ ICS,71,81,1.7,2.9,2.4,D,2.35,D,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,3,3,3,4,3,3,3,2,2,2,3,2,3,4,3,4,4,4,4,2,3,3,3,4,3,3,2,3,3,4,4,2,4,4,4,4,3,4,3,3,4,3,3,Independent study,Late night,3~4 hours,
206,Artificial intelligence ,Male,Pakistani,Federal/ Capital,5th,BS,BS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,76,60,2.92,3.02,3.1,B,3.01,B,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,3,3,3,4,4,3,4,1,3,3,2,2,2,2,4,4,4,3,4,4,4,5,3,5,5,4,4,3,3,3,3,3,4,3,4,4,4,3,3,3,4,3,Independent study,Late night,1~2 hours,
207,Computer Science,Female,Pakistani,KPK,3rd,MS,BS,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,88,81,3.4,3.5,3.6,A,3.50,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,2,5,5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Late night,1~2 hours,
208,Computer Science,Female,Pakistani,Federal/ Capital,3rd,MS,BS,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,89,94,3.4,3.2,3.45,B,3.35,B,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,5,5,4,4,5,3,5,2,4,5,4,3,4,4,5,5,5,4,5,5,4,3,5,5,4,4,4,4,5,4,4,3,4,5,5,3,5,5,4,5,5,4,Group study,Late night,5~6 hours,
209,Computer Science,Female,Pakistani,Federal/ Capital,5th,MS,MS,Between 1Lac~2Lac,YES,NO,4,Cambridge,A-Level,91.37,87.67,3.5,3.3,3.1,B,3.30,B,English,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,4,3,4,4,2,3,3,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,5,1,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Late night,3~4 hours,
210,Computer Science,Female,Pakistani,Punjab,3rd,MS,BS,Between 30K~50K,YES,YES,4,Matric,FSc/ ICS,93,87,3.4,3.5,3.4,B,3.43,B,English,Power point,Middle row,1.5 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,3,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,1~2 hours,
211,Computer Science,Female,Pakistani,Federal/ Capital,3rd,BS,Matric,Above 3Lac,YES,YES,4,Matric,FSc/ ICS,83,72,3.5,4.4,3.4,B,3.78,A,English,Mix of both whiteboard and power point,Middle row,1.5 hour,Female instructor,Not more than 50,Only understand the concepts without noting them down,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Group study,Day time,3~4 hours,
212,Computer Science,Male,Pakistani,Punjab,3rd,MS,Intermediate,Between 1Lac~2Lac,YES,NO,1,Matric,FSc/ ICS,85,80,1.69,2.03,2.27,D,2.00,E,Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,1,4,3,4,4,4,4,4,1,5,4,4,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4,4,2,5,5,5,5,5,5,2,5,4,2,4,4,4,Independent study,Day time,More than 8 hours,
213,Computer Science,Male,Pakistani,Sindh,3rd,BS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,83,67,3.37,3.35,0,E,2.26,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 40,I take notes during lecture,4,2,3,2,2,1,2,2,1,2,3,2,2,2,2,4,2,4,2,2,2,3,2,4,2,4,2,2,4,4,5,5,5,5,5,4,2,5,4,2,3,2,1,Group study,Day time,3~4 hours,
214,Computer Science,Male,Pakistani,Punjab,3rd,Intermediate,BS,Between 50K~1Lac,NO,NO,2,Matric,FSc/ ICS,89,85,1.9,2.4,2.2,D,2.17,D,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,3,2,2,2,1,2,2,1,5,5,5,5,3,4,4,5,4,3,4,4,5,2,2,3,2,2,2,5,4,5,2,4,4,2,5,3,5,5,5,3,4,4,Independent study,Day time,5~6 hours,
215,Computer Science,Male,Pakistani,Federal/ Capital,3rd,BS,Intermediate,Between 50K~1Lac,NO,NO,1,Matric,FSc/ ICS,71,73,2.3,2.4,2.2,D,2.30,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1.5 hour,Instructor gender does not effect my performance,Not more than 50,Only understand the concepts without noting them down,4,2,2,3,2,3,3,3,1,2,2,3,4,3,4,4,3,3,3,2,2,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Independent study,Day time,3~4 hours,
216,Computer Science,Male,Pakistani,Federal/ Capital,3rd,Below Matric,Matric,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,85,75,3.42,3.32,3.23,B,3.32,B,Urdu,Power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,3,4,4,4,3,4,4,5,1,3,4,5,3,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,1,4,2,3,2,2,1,4,2,4,1,4,4,4,4,Independent study,Late night,1~2 hours,
217,Computer Science,Male,Pakistani,Punjab,4th,MS,BS,Above 3Lac,NO,NO,5,Matric,FSc/ ICS,85,74,1.31,2.58,1.28,E,1.74,E,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,5,4,3,2,2,1,1,1,1,3,3,1,1,1,1,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,5,1,4,Independent study,Day time,1~2 hours,
218,Computer Science,Male,Pakistani,Federal/ Capital,3rd,PhD/ Doctor,PhD/ Doctor,Above 3Lac,YES,NO,5,Cambridge,A-Level,65,65,2.56,2.24,2.44,D,2.41,D,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,4,3,2,2,4,4,2,2,1,4,4,4,3,3,3,4,2,4,4,4,4,4,2,4,4,3,2,1,5,4,4,3,4,4,3,4,3,5,3,4,3,2,4,Independent study,Day time,5~6 hours,
219,Computer Science,Male,Pakistani,Federal/ Capital,5th,Below Matric,Below Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,81,84,2.9,2.9,2.9,C,2.90,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Last row,1 hour,Male instructor,Not more than 40,I take notes during lecture,1,4,4,4,4,4,4,4,2,5,5,1,2,2,1,2,2,3,4,4,5,4,5,5,3,4,5,4,2,2,2,3,2,2,3,3,3,4,2,4,5,5,3,Independent study,Day time,More than 8 hours,
220,Computer Science,Male,Pakistani,Punjab,3rd,Below Matric,Matric,Between 30K~50K,YES,NO,4,Matric,FSc/ ICS,89,88,3.02,3.01,3.02,B,3.02,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Female instructor,Not more than 40,I take notes during lecture,2,4,4,4,4,4,4,3,2,5,5,2,3,1,3,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,Independent study,Day time,1~2 hours,
221,Computer Science,Male,Pakistani,KPK,3rd,MS,MS,Above 3Lac,NO,NO,5,Matric,FSc/ ICS,87.65,60,2.37,2.06,2.23,D,2.22,D,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,2,2,1,3,2,4,4,1,5,5,4,3,3,2,4,3,5,3,5,2,4,5,4,4,5,3,2,3,4,3,2,1,3,2,3,3,5,2,5,3,4,4,Independent study,Late night,3~4 hours,
222,Computer Science,Male,Pakistani,Balochistan,3rd,Intermediate,Below Matric,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,91.6,84.5,3.33,3.77,3.5,A,3.54,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,1,4,3,4,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,1,4,4,3,4,4,2,2,5,2,2,4,5,4,4,4,4,1,5,5,2,Independent study,Day time,1~2 hours,
223,Computer Science,Male,Pakistani,KPK,7th,BS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,80,76,2.3,2.1,1.5,E,1.97,E,Mix of both English and Urdu,Power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,4,4,3,3,3,4,4,4,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,5,5,3,3,4,4,3,4,4,Independent study,Day time,1~2 hours,
224,Computer Science,Female,Pakistani,Punjab,7th,Intermediate,Intermediate,Between 2Lac~3Lac,NO,NO,5,Matric,FSc/ ICS,78,70,2.56,3.08,2.98,C,2.88,C,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Late night,5~6 hours,
225,Computer Science,Female,Pakistani,Federal/ Capital,7th,Matric,Intermediate,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,90,84,2.4,3.4,2.6,C,2.81,C,Mix of both English and Urdu,Whiteboard,First row,1.5 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,2,3,2,3,4,2,2,1,4,5,4,3,2,3,5,4,4,3,3,3,4,2,3,3,4,4,4,4,4,4,3,4,4,4,4,2,4,3,4,4,4,4,Independent study,Late night,3~4 hours,
226,Computer Science,Female,Pakistani,Punjab,7th,Matric,Intermediate,Between 1Lac~2Lac,NO,YES,4,Matric,FSc/ ICS,82,70,2.79,3.69,3.1,B,3.20,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,4,2,1,2,3,1,5,5,5,5,4,5,5,4,3,3,5,5,5,5,3,1,5,5,5,4,5,5,2,5,2,2,4,5,5,1,4,1,5,2,Independent study,Day time,3~4 hours,
227,Computer Science,Female,Pakistani,Punjab,7th,BS,MS,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,85,83,2.1,2.23,2.23,D,2.19,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,1,3,1,1,5,1,1,1,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,Independent study,Late night,3~4 hours,
228,Computer Science,Male,Pakistani,Federal/ Capital,7th,BS,BS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,79,75,2.5,2.3,2.33,D,2.38,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,1,3,3,2,2,2,3,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Late night,3~4 hours,
229,Computer Science,Female,Pakistani,Punjab,7th,Intermediate,BS,Above 3Lac,NO,NO,3,Matric,FSc/ ICS,87.6,79.4,2.94,3.9,3.75,A,3.54,A,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,2,5,4,1,4,3,2,2,2,4,4,5,4,4,3,4,1,1,1,5,4,4,5,4,5,5,5,5,5,1,3,1,1,1,4,4,3,5,5,2,2,5,5,Independent study,Late night,3~4 hours,
230,Computer Science,Male,Pakistani,Punjab,7th,Matric,Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,87.63,68.63,1.56,2.54,1.86,E,2.00,E,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,Notes taking has no relation with my academic performance,4,3,4,4,4,4,2,4,1,5,4,4,4,4,4,3,2,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,Independent study,Late night,3~4 hours,
231,Computer Science,Male,Pakistani,Punjab,7th,BS,BS,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,78,75,2,2.32,2.56,C,2.29,D,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,3,3,3,3,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,Independent study,Day time,1~2 hours,
232,Computer Science,Male,Pakistani,Punjab,7th,Intermediate,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,84,72,2.4,3.67,3.22,B,3.11,B,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,4,2,3,2,3,4,1,3,4,4,4,4,4,4,2,3,2,4,2,3,4,3,4,4,2,3,4,2,3,3,2,2,4,3,4,3,3,4,4,4,4,Independent study,Late night,3~4 hours,
233,Computer Science,Male,Pakistani,International,7th,MS,Intermediate,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,87,70,1.83,3.09,2.12,D,2.36,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,Notes taking has no relation with my academic performance,4,2,2,2,3,4,2,2,1,4,4,2,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Independent study,Day time,3~4 hours,
234,Computer Science,Male,Pakistani,KPK,7th,MS,MS,Above 3Lac,NO,NO,5,Matric,FSc/ ICS,78,74,2.3,2.28,1.45,E,2.02,D,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,4,2,5,5,4,4,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2,2,5,2,5,2,4,4,4,Independent study,Late night,3~4 hours,
235,Computer Science,Male,Pakistani,Punjab,7th,Intermediate,Intermediate,Below 30K,NO,NO,4,Matric,FSc/ ICS,84,68,2.54,3.01,2.8,C,2.79,C,Urdu,Power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,2,2,2,2,5,2,3,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,5,2,5,4,4,5,5,5,4,4,1,4,5,5,5,Independent study,Late night,3~4 hours,
236,Computer Science,Male,Pakistani,Punjab,7th,Below Matric,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,67,60,3.2,1.332,1.2,E,1.90,E,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,4,4,4,4,4,4,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,Group study,Day time,1~2 hours,
237,Computer Science,Male,Pakistani,Punjab,7th,Below Matric,Below Matric,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,75,70,2.73,2.29,1.69,E,2.24,D,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,5,2,4,2,4,4,2,4,2,5,4,4,4,4,4,4,4,4,5,4,5,2,5,3,4,5,4,5,4,4,4,3,4,5,5,4,4,4,4,4,4,4,5,Independent study,Day time,5~6 hours,
238,Computer Science,Female,Pakistani,Punjab,7th,BS,Matric,Between 50K~1Lac,NO,YES,5,Matric,FSc/ ICS,79.81,78.81,3.46,3.69,3.77,A,3.64,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,3,2,2,3,2,3,1,3,3,4,4,3,3,3,3,3,3,3,2,3,2,4,3,3,2,2,4,4,4,4,2,3,4,4,3,4,3,2,2,3,2,Independent study,Late night,3~4 hours,
239,Computer Science,Female,Pakistani,Federal/ Capital,7th,Matric,Matric,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,78,72,2.85,3.27,2.92,C,3.02,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,4,3,3,3,3,2,3,1,4,3,3,3,2,2,4,4,4,2,2,3,4,2,4,2,4,4,4,4,2,4,4,2,3,4,4,4,3,2,3,4,4,2,Independent study,Late night,1~2 hours,
240,Computer Science,Female,Pakistani,Federal/ Capital,7th,BS,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,58.9,53.45,2.17,2.81,1.8,E,2.27,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,2,2,2,3,2,2,2,5,5,3,4,3,4,5,5,5,3,4,4,4,5,4,3,5,4,4,3,3,4,4,4,4,2,3,2,4,4,5,5,4,4,Group study,Late night,More than 8 hours,
241,Computer Science,Female,Pakistani,Federal/ Capital,7th,MS,BS,Below 30K,NO,YES,5,Matric,FSc/ ICS,80,69,2.42,2.98,2.67,C,2.70,C,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,3,1,1,4,1,1,2,3,3,1,1,3,1,5,4,3,4,3,4,5,4,5,2,4,4,4,2,3,4,4,2,3,3,4,4,5,2,5,3,4,4,Group study,Late night,3~4 hours,
242,Computer Science,Male,Pakistani,Punjab,8th,Matric,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,65.78,65.6,3.58,2.5,2.58,C,2.88,C,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,2,3,2,3,2,2,3,1,5,5,5,4,3,3,4,4,4,3,5,5,5,3,2,5,2,5,5,2,4,2,5,2,2,3,2,2,5,2,4,3,4,4,Independent study,Late night,1~2 hours,
243,Computer Science,Female,Pakistani,Sindh,7th,BS,BS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,86,65,2.27,2.92,2,D,2.41,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,5,4,4,3,3,2,1,3,4,4,4,4,3,5,5,5,4,4,4,4,3,3,2,4,4,4,2,3,4,3,3,3,4,3,3,4,4,4,3,5,3,Independent study,Late night,3~4 hours,
244,Computer Science,Male,Pakistani,Federal/ Capital,7th,Intermediate,BS,Above 3Lac,YES,NO,3,Matric,FSc/ ICS,61,62,2.98,2.33,2.21,D,2.50,C,Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Male instructor,Number of students does not effect my performance,I take notes during lecture,4,4,3,2,4,2,4,3,1,2,2,4,4,4,3,4,2,4,4,4,4,4,2,3,4,4,3,3,4,4,4,4,2,2,4,3,2,4,5,2,4,4,2,Independent study,Day time,3~4 hours,
245,Computer Science,Female,Pakistani,Federal/ Capital,7th,Intermediate,BS,Between 1Lac~2Lac,NO,NO,2,Matric,FSc/ ICS,87,72,2.37,2.7,1.94,E,2.34,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,2,3,3,4,3,3,3,3,1,4,4,4,4,2,4,5,5,5,5,2,5,5,2,4,2,2,4,4,2,2,2,2,2,2,2,2,2,5,5,4,5,5,4,Group study,Late night,7~8 hours,
